"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","CHILDCAUSE (CODE)","CHILDCAUSE (DISPLAY)","CHILDCAUSE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","655","654.52280","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","15024","15023.89000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","15678","15678.42000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","668","668.35630","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","14751","14751.13000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","15419","15419.49000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","683","683.48700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","14306","14306.19000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","14990","14989.68000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","684","683.90750","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","13821","13820.55000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","14504","14504.46000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","662","662.22410","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","13245","13245.07000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","13907","13907.29000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","642","642.21660","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","12572","12571.62000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","13214","13213.84000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","633","632.72970","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","11856","11855.63000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","12488","12488.36000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","632","631.99880","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","11179","11179.35000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","11811","11811.35000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","624","623.57240","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","10588","10587.57000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","11211","11211.15000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","617","617.32350","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","10069","10069.40000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","10687","10686.72000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","615","614.89540","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","9446","9446.16700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","10061","10061.06000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","614","613.80320","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","8716","8716.43100","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","9330","9330.23400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","601","600.71580","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","7954","7954.22800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","8555","8554.94400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","579","578.81370","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","7232","7232.41200","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","7811","7811.22600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","553","553.03450","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","6924","6923.65400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","7477","7476.68900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","529","528.65710","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","6543","6542.65700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","7071","7071.31400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","507","506.85270","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","6021","6020.55500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","6527","6527.40700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","495","495.24350","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","5557","5556.67300","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","6052","6051.91600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","AFR","Africa","","AGO","Angola","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","440","439.90090","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","AFR","Africa","","AGO","Angola","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","31701","31700.61000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","AFR","Africa","","AGO","Angola","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","32141","32140.52000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","AFR","Africa","","AGO","Angola","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","431","431.06430","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","AFR","Africa","","AGO","Angola","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","30365","30364.50000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","AFR","Africa","","AGO","Angola","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","30796","30795.56000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","AFR","Africa","","AGO","Angola","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","417","417.16130","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","AFR","Africa","","AGO","Angola","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","29642","29641.92000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","AFR","Africa","","AGO","Angola","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","30059","30059.08000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","AFR","Africa","","AGO","Angola","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","401","400.66210","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","AFR","Africa","","AGO","Angola","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","28099","28099.05000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","AFR","Africa","","AGO","Angola","","YEARS0-4","0-4 years","","CH3","Diarrhoeal diseases","","28500","28499.71000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","AFR","Africa","","AGO","Angola","","DAYS0-27","0-27 days","","CH3","Diarrhoeal diseases","","381","381.28270","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","AFR","Africa","","AGO","Angola","","MONTHS1-59","1-59 months","","CH3","Diarrhoeal diseases","","26414","26414.17000","","","","",""
