"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","CHILDCAUSE (CODE)","CHILDCAUSE (DISPLAY)","CHILDCAUSE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4357","4356.74900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18495","18494.91000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","22852","22851.66000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4475","4474.51100","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18831","18831.27000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","23306","23305.78000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4594","4593.86800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18948","18947.62000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","23541","23541.49000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4707","4707.00600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","19005","19004.94000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","23712","23711.95000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4767","4767.31700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18912","18911.67000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","23679","23678.98000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4692","4691.50800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18651","18651.02000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","23343","23342.53000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4555","4554.85800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","18280","18279.80000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH9","Acute lower respiratory infections","","22835","22834.65000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH9","Acute lower respiratory infections","","4399","4399.09200","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH9","Acute lower respiratory infections","","17557","17557.44000","","","","",""
