"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","CHILDCAUSE (CODE)","CHILDCAUSE (DISPLAY)","CHILDCAUSE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","25","24.89377","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4487","4487.10100","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","4512","4511.99500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","26","26.39399","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4670","4669.82500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2001","2001","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","4696","4696.21900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","28","28.46769","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4818","4817.54800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2002","2002","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","4846","4846.01600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","31","31.44967","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5007","5007.02500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2003","2003","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5038","5038.47500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","35","35.15771","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5134","5134.12400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2004","2004","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5169","5169.28200","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","37","37.32300","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5194","5194.13200","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2005","2005","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5231","5231.45500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","37","37.41097","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5216","5215.89500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2006","2006","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5253","5253.30600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","36","36.30761","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5232","5231.64800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2007","2007","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5268","5267.95500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","35","35.25553","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5267","5266.51900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5302","5301.77400","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","34","33.93934","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5304","5304.36800","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2009","2009","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5338","5338.30700","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","32","32.09576","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5206","5206.34500","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5238","5238.44000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","30","30.31607","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","5069","5068.98000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","5099","5099.29600","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","29","29.19874","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4899","4898.73000","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","4928","4927.92900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","28","28.41322","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4821","4820.81900","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","YEARS0-4","0-4 years","","CH16","Other noncommunicable diseases","","4849","4849.23200","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","DAYS0-27","0-27 days","","CH16","Other noncommunicable diseases","","28","27.91541","","","","",""
"MORT_100","Number of deaths","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MONTHS1-59","1-59 months","","CH16","Other noncommunicable diseases","","4928","4927.82200","","","","",""
